trade_date,market,active_count,advancers,decliners,unchanged,advance_ratio,decline_ratio,turnover_amount,market_cap_total,top10_cap_share,cap_weighted_change_pct,median_change_pct,breadth_5d,weighted_return_20d,volatility_20d,turnover_ratio_20d,regime_score,regime,source,source_ref,schema_version,universe_count,return_observation_count,missing_return_count,equal_weight_change_pct,active_market_cap_total
1995-07-14,KOSPI,912,383,430,99,0.419956,0.471491,1189915938600.0,147223388938870.0,0.32535,-0.3458,0.0,0.437645,10.637076,0.989004,1.777636,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,981,912,0,0.309441,145662913626670.0
1995-07-15,KOSPI,902,336,437,129,0.372506,0.484479,658417521200.0,146840129552680.0,0.32314,-0.413819,0.0,0.37801,10.836333,0.979734,0.966898,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,984,902,0,0.155488,145357289950930.0
1995-07-18,KOSPI,928,547,300,81,0.58944,0.323276,933632197800.0,146347191884700.0,0.32226,-0.30696,1.0,0.447682,11.487155,0.945485,1.318755,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,983,928,0,1.270754,145241343569600.0
1995-07-19,KOSPI,922,201,622,99,0.218004,0.67462,806464818900.0,144506876623510.0,0.326971,-1.192687,-1.85,0.432007,10.082019,1.014974,1.113624,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,983,922,0,-1.659751,143203636594110.0
1995-07-20,KOSPI,920,645,174,101,0.701087,0.18913,880932619800.0,146182720292240.0,0.3212,1.231955,2.005,0.460199,11.313354,1.023626,1.142291,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,983,920,0,2.04712,145079168167340.0
1995-07-21,KOSPI,927,518,287,122,0.558792,0.309601,1018910686900.0,146705889398070.0,0.31932,0.382833,0.66,0.487966,12.175671,1.002111,1.261694,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,985,927,0,0.982751,145522866530770.0
1995-07-22,KOSPI,911,245,529,137,0.268935,0.580681,562131991900.0,146946170308610.0,0.318909,-0.208504,-0.79,0.467252,11.455139,1.016521,0.696075,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,988,911,0,-0.587157,145312592915050.0
1995-07-24,KOSPI,924,386,376,162,0.417749,0.406926,853019684600.0,147273113215870.0,0.318871,0.17994,0.0,0.432913,10.133004,1.000874,1.039944,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,990,924,0,0.338788,146050826078820.0
1995-07-25,KOSPI,923,200,615,108,0.216685,0.666306,719851337400.0,145453932519090.0,0.321547,-1.20815,-1.5,0.43265,7.517639,1.051828,0.877594,0,NEUTRAL,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,990,923,0,-1.405818,144270893864740.0
1995-07-26,KOSPI,920,218,577,125,0.236957,0.627174,638264905500.0,144284046823520.0,0.320237,-0.793547,-0.985,0.339824,4.78874,1.027697,0.778129,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,991,920,0,-0.87237,142793332620020.0
1995-07-27,KOSPI,919,310,478,131,0.337323,0.520131,587121691700.0,143491271996400.0,0.321546,-0.523393,-0.42,0.29553,3.701298,1.038558,0.715779,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,991,919,0,-0.364864,142014627124670.0
1995-07-28,KOSPI,912,160,640,112,0.175439,0.701754,485432857400.0,142303544926200.0,0.321966,-0.845375,-1.555,0.276831,3.500808,1.047138,0.591807,-1,RISK_OFF,GITHUB_FINANCEDATA_MARCAP_AGG,FinanceData/marcap@8c85d8637dad763356addf02aee7fde197b25087:data/marcap-1995.parquet,2,992,912,0,-1.433059,140203148939510.0
